Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
stimulants_last12months	lifetime_drug_use		radio	Did you use (Stimulants) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
marijuana2	lifetime_drug_use		radio	5. Marijuana	1, Yes | 0, No	PX0510402											
marijuana_last12months	lifetime_drug_use		radio	Did you use (Marijuana) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
cocaine2	lifetime_drug_use		radio	6. Cocaine or Crack	1, Yes | 0, No	PX0510402											
cocaine_last12months	lifetime_drug_use		radio	Did you use (Cocaine or Crack) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
hallucinogens2	lifetime_drug_use		radio	7. Hallucinogens	1, Yes | 0, No	PX0510402											
hallucinogens_last12months	lifetime_drug_use		radio	Did you use (Hallucinogens) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
inhalants_solvents	lifetime_drug_use		radio	8. Inhalants/Solvents	1, Yes | 0, No	PX0510402											
inhalants_solvents_last12months	lifetime_drug_use		radio	Did you use (Inhalants/Solvents) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
heroin2	lifetime_drug_use		radio	9. Heroin	1, Yes | 0, No	PX0510402											
heroin_last12months	lifetime_drug_use		radio	Did you use (Heroin) in the last 12 months only, before the last 12 months only, or during both time periods?	1 , Last 12 months only |2 , Prior to last 12 months only |3 , Both time periods	PX0510402											
other	lifetime_drug_use		radio	10. Other	1, Yes | 0, No	PX0510402											
other_specify	lifetime_drug_use		text	Other, Specify #10		PX0510402											
other_last12months	lifetime_drug_use		radio	10a. Did you use (Other) in the last 12 months only, before the last 12 months only, or during both time periods?	1, Last 12 months only | 2, Prior to last 12 months only | 3, Both time periods	PX0510402											
check_item_314	lifetime_drug_use		radio	CHECK ITEM 3.14   Are any 1's or 3's marked in the b questions above?	1, Yes - Go to 12 questions | 0, No - End Protocol	PX0510402											
cbc_mean_platelet_volume	laboratory_results_complete_blood_count	Complete Blood Count	text	Mean platelet volume		fL											
cbc_lymphocyte_count	laboratory_results_complete_blood_count		text	Lymphocyte count		1000 cells/uL											
cbc_lymphocyte_percent	laboratory_results_complete_blood_count		text	Lymphocyte percentage		%											
cbc_monocyte_count	laboratory_results_complete_blood_count		text	Monocyte count		1000 cells/uL											
cbc_monocyte	laboratory_results_complete_blood_count		text	Monocyte percentage		%											
cbc_neutrophil_count	laboratory_results_complete_blood_count		text	Neutrophils count		1000 cells/uL											
cbc_neutrophil_percent	laboratory_results_complete_blood_count		text	Neutrophils percentage		%											
cbc_eosinophil_count	laboratory_results_complete_blood_count		text	Eosinophil count		1000 cells/uL											
cbc_eosinophil_percent	laboratory_results_complete_blood_count		text	Eosinophil percentage		%											
cbc_basophils_number	laboratory_results_complete_blood_count		text	Basophils number		1000 cells/uL											
cbc_basophil_percent	laboratory_results_complete_blood_count		text	Basophil percentage		%											
cbc_eosinophils_number	laboratory_results_complete_blood_count		text	Eosinophils number		1000 cells/uL											
cbc_hematocrit	laboratory_results_complete_blood_count		text	Hematocrit		%											
pxt141401_blood_draw_done	laboratory_results_kidney_function_assay	Kidney Function Assay (PhenX protocol PX0141401 unless stated otherwise)	radio	Was blood drawn?	1, Yes | 0, No												
pxt141401_blood_draw_sample	laboratory_results_kidney_function_assay		radio	Was full sample obtained?	1, Yes | 0, No												
pxt141401_blood_draw_comments	laboratory_results_kidney_function_assay		text	Record any comments about the blood draw, including any reasons for the tube not being drawn according to the protocol.													
pxt141401_sample_comments	laboratory_results_kidney_function_assay		text	Record any comments about the sample during processing.													
pxt141401_assay_repeatability	laboratory_results_kidney_function_assay		text	Repeatability of the assay		percentage	number	0	100								
pxt141601_urine_collection_comments	laboratory_results_kidney_function_assay		text	Record any comments about the urine collection, including whether or not urine was collected, whether the volume of urine was sufficient or required a second specimen, and whether blood is present or visible in the specimen.													
pxt141601_assay_repeatability	laboratory_results_kidney_function_assay		text	Repeatability of the assay		percentage	number	0	100								
pxt141501_sample_comments	laboratory_results_kidney_function_assay		text	Record any comments about the urine during processing.													
pxt141501_assay_repeatability	laboratory_results_kidney_function_assay		text	Repeatability of the assay		percentage	number	0	100								
pxt190801_blood_draw_done	laboratory_results_liver_function_assay	Liver Function Assay (PhenX protocol PX0190801 unless stated otherwise)	radio	Was blood drawn?	1, Yes | 0, No - record reason below												
pxt190801_blood_draw_sample	laboratory_results_liver_function_assay		radio	Was full amount obtained?	1, Yes | 0, No - record reason below												
pxt190801_blood_draw_comments	laboratory_results_liver_function_assay		text	Record any comments about the blood draw, including any reasons for the tube not being drawn according to the protocol.													
pxt190801_sample_comments	laboratory_results_liver_function_assay		text	Record comments to describe the sample during processing													
alanine_at_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of alanine aminotransferase													
repeatability_alanine_at_assay	laboratory_results_liver_function_assay		text	Repeatability of the assay for tissue alanine aminotransferase		percentage											
aspartate_at_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of aspartate aminotransferase													
repeatability_of_aspartate_at_assay	laboratory_results_liver_function_assay		text	Repeatability of the aspartate aminotransferase assay													
alkaline_phosphatase_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of alkaline phosphatase													
repeatability_of_alkaline_phosphatase_assay	laboratory_results_liver_function_assay		text	Repeatability of the alkaline phosphatase assay													
bilirubin_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of bilirubin													
repeatability_of_the_bilirubin_assay	laboratory_results_liver_function_assay		text	Repeatability of the bilirubin assay													
albumin_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of albumin													
repeatability_of_the_albumin_assay	laboratory_results_liver_function_assay		text	Repeatability of the albumin assay													
results_of_albumin_assay	laboratory_results_liver_function_assay		text	Results of albumin assay		g/dL											
total_protein_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of total protein													
repeatability_of_total_protein_assay	laboratory_results_liver_function_assay		text	Repeatability of the total protein assay													
results_of_total_protein_assay	laboratory_results_liver_function_assay		text	Results of total protein assay		g/dL											
gammaglutamyl_transferase_assay_type	laboratory_results_liver_function_assay		text	Record the type of assay used to perform the determination of gamma-glutamyl transferase													
repeatability_of_gammaglutamyl_transferase_assay	laboratory_results_liver_function_assay		text	Repeatability of the gamma-glutamyl transferase assay													
results_gammaglutamyl_transferase_assay	laboratory_results_liver_function_assay		text	Results of gamma-glutamyl transferase assay		IU/L											
billirubin_blood_draw_results	laboratory_results_liver_function_assay	Bilirubin Level (PhenX protocol PX0810901 unless stated otherwise)	text	Record the results of the blood draw.													
billirubin_blood_draw_tube_deviation	laboratory_results_liver_function_assay		text	Record reasons for a tube not being drawn according to the protocol.													
billirubin_serum_description	laboratory_results_liver_function_assay		radio	If serum is hemolyzed, turbid, lipemic, or iteric, then describe.	0,hemolyzed|1,turbid|2,lipemic|3,icteric												
billirubin_serum_determination	laboratory_results_liver_function_assay		radio	Determine if the serum is hemolyzed, turbid, lipemic, or icteric.	1, Yes | 0, No												
billirubin_total_billirubin_assay_repeatability	laboratory_results_liver_function_assay		text	Repeatability of the total billirubin assay.													
billirubin_venipuncture_comments	laboratory_results_liver_function_assay		text	Record any comments about the venipuncture.													
lactate_dehydrogenase_assay_repeatability	laboratory_results_liver_function_assay	Lactate Dehydrogenase Level (PhenX protocol PX0811001 unless stated otherwise)	text	Repeatability of the lactate dehydrogenase assay.													
lactate_dehydrogenase_blood_draw_results	laboratory_results_liver_function_assay		text	Record the results of the blood draw.													
lactate_dehydrogenase_blood_drawtube_deviation	laboratory_results_liver_function_assay		text	Record reasons for a tube not being drawn according to the protocol.													
lactate_dehydrogenase_serum_description	laboratory_results_liver_function_assay		radio	If serum is hemolyzed, turbid, lipemic, or iteric, then describe.	0,hemolyzed|1,turbid|2,lipemic|3,icteric												
lactate_dehydrogenase_serum_determination	laboratory_results_liver_function_assay		radio	Determine if the serum is hemolyzed, turbid, lipemic, or icteric.	1, Yes | 0, No												
lactate_dehydrogenase_venipuncture_comments	laboratory_results_liver_function_assay		text	Record any comments about the venipuncture.													
aspartate_at_assay_repeatability	laboratory_results_liver_function_assay	Aspartate Aminotransferase Level (PhenX protocol PX0811201 unless stated otherwise)	text	Repeatability of the red blood cell aspartate aminotransferase assay													
aspartate_at_blood_draw_results	laboratory_results_liver_function_assay		text	Record the results of the blood draw.													
aspartate_at_blood_draw_tube_deviation	laboratory_results_liver_function_assay		text	Record reasons for a tube not being drawn according to the protocol.													
aspartate_at_serum_description	laboratory_results_liver_function_assay		radio	If serum is hemolyzed, turbid, lipemic, or iteric, then describe.	0,hemolyzed|1,turbid|2,lipemic|3,icteric												
aspartate_at_serum_determination	laboratory_results_liver_function_assay		radio	Determine if the serum is hemolyzed, turbid, lipemic, or icteric.	1, Yes | 0, No												
aspartate_at_venipuncture_comments	laboratory_results_liver_function_assay		text	Record any comments about the venipuncture.													
serumplasmaferritin_amount	laboratory_results_liver_function_assay	Ferritin (PhenX protocol PX0811301 unless stated otherwise)	text	Ferritin level		ng/mL	number										
serumplasmaferritin_assay_repeatability	laboratory_results_liver_function_assay		text	Repeatability of the ferritin assay													
serumplasmaferritin_blood_draw_results	laboratory_results_liver_function_assay		text	Record the results of the blood draw.													
serumplasmaferritin_blood_drawtube_deviation	laboratory_results_liver_function_assay		text	Record reasons for a tube not being drawn according to the protocol.													
serumplasmaferritin_coefficients_variation_assay	laboratory_results_liver_function_assay		text	Coefficients of variation of the ferritin assay		ng/mL	number										
